playlist_name,playlist_id,followers,average_danceability,average_energy,average_key,average_loudness,average_mode,average_speechiness,average_acousticness,average_instrumentalness,average_liveness,average_valence,average_tempo,average_time_signature,average_duration_ms,total_duration,total_num,genre,max_popularity,avg_popularity
Today's Top Hits,37i9dQZF1DXcBWIGoYBM5M,18098330,0.67128,0.65588,4.98,-5.443,0.6,0.082964,0.1976582,1.07E-05,0.1555,0.409774,122.74708,3.98,208131.22,10406561,50,pop,97,80.24
RapCaviar,37i9dQZF1DX0XUsuxWHRQd,8295257,0.752764706,0.622176471,5.568627451,-6.668294118,0.549019608,0.234988235,0.178903627,1.88E-05,0.194762745,0.447588235,129.4209412,4.039215686,211914.7647,10807653,51,rap,96,73.58823529
mint,37i9dQZF1DX4dyzvuaRJ0n,4595392,0.64976,0.77548,4.46,-5.6248,0.5,0.072348,0.11640648,0.133079895,0.188764,0.375314,125.64984,3.96,211429.64,10571482,50,electronic,89,59
Are & Be,37i9dQZF1DX4SBhb3fqCJd,3777270,0.62764,0.53842,5.28,-7.31248,0.52,0.129162,0.2237156,0.016297319,0.13737,0.430556,117.0756,3.98,224363.6,11218180,50,pop,87,64.08
Rock This,37i9dQZF1DXcF6B6QPhFDv,3992066,0.52616,0.7871,5,-5.25222,0.56,0.064722,0.05096985,0.024833327,0.202988,0.50686,126.46104,3.9,220319.18,11015959,50,rock,74,60.26
Hot Country,37i9dQZF1DX1lVhptIYRda,4244887,0.586333333,0.718254902,6.058823529,-5.756764706,0.901960784,0.043807843,0.159697,1.74E-05,0.147805882,0.565470588,118.3662745,3.980392157,195283.8039,9959474,51,country,90,66.76470588
Â¡Viva Latino!,37i9dQZF1DX10zKzsJ2jva,6607264,0.72938,0.76852,4.98,-4.83286,0.62,0.088064,0.16595,0.000195705,0.170982,0.65648,119.7588,4,217256.64,10862832,50,world,91,79.48
Afternoon Acoustic,37i9dQZF1DX4E3UdUs7fUx,2470127,0.525703704,0.325551852,5.37037037,-11.72506173,0.777777778,0.033222222,0.786123457,0.054287094,0.13578642,0.320828395,114.4294074,3.913580247,228501.9506,18508658,81,indie,75,51.24691358
Peaceful Piano,37i9dQZF1DX4sWSpwq3LiO,3313734,0.232567901,0.041348148,3.00617284,-15.04552469,0.277777778,0.028737037,0.609469136,0.564537037,0.069430864,0.104012346,66.66720988,2.191358025,109436.0926,17728647,162,ambient,74,36.75925926
Roots Rising,37i9dQZF1DWYV7OOaGhoH0,987430,0.491961905,0.427080952,5.238095238,-9.009171429,0.685714286,0.035198095,0.533639057,0.074059148,0.140839048,0.318978095,109.9900857,3.676190476,221428,23249940,105,indie,77,48.22857143
Lost In Austin: Country Music from SXSW,5JdIoXkjfuyWmDdDnznmq1,3822,0.502804878,0.573552439,5.317073171,-8.520195122,0.902439024,0.047392683,0.37246481,0.029288665,0.155235366,0.512170732,128.784439,3.902439024,216742.061,17772849,82,None,76,21.52439024
SXSW: HipHopUpNext,37i9dQZF1DX5PuwKY2VZBZ,14524,0.741,0.59196,5.04,-7.4942,0.36,0.1885,0.2209644,0.001080851,0.1427,0.5022,124.33168,3.88,199848.68,4996217,25,rap,68,42.4
Women of SXSW,37i9dQZF1DXboGLA1CNczK,3352,0.552672727,0.567401818,4.872727273,-7.783618182,0.690909091,0.072132727,0.344474255,0.105075696,0.157021818,0.392365455,121.3981636,3.872727273,218424.1818,12013330,55,None,59,30.85454545
Music Inspired By Mogul,4HghCZXykAY0kdRqJipQJd,3638,0.80747619,0.628619048,5.904761905,-8.145238095,0.666666667,0.2353,0.14388381,0.000728248,0.204580952,0.646047619,103.0874762,4,234515.6667,4924829,21,rap,72,48.23809524
SXSW 2017: Daily Guide,1LYK2ahDnbLnS4fddCFY7z,7879,0.573109091,0.667089091,5.581818182,-6.940618182,0.636363636,0.097661818,0.218213365,0.102929279,0.179198182,0.472185455,121.3185273,3.854545455,219494.6182,12072204,55,rock,82,42.43636364
TGIF,37i9dQZF1DXcRXFNfZr7Tp,1454537,0.69806,0.65334,5.3,-5.82886,0.48,0.086456,0.1812308,0.016326717,0.150988,0.463562,112.94666,4,202996.2,10149810,50,electronic,96,72.86
SXSW UK Rising,37i9dQZF1DXdIcOzOLoAn6,8186,0.540705882,0.692352941,4.31372549,-7.438019608,0.725490196,0.098094118,0.200536465,0.104544083,0.157496078,0.429692157,129.1276471,3.980392157,214371.7451,10932959,51,None,67,29.29411765
ExperiWOMENtell,37i9dQZF1DWY7uXxMycXfq,1726,0.2974175,0.33712,4.425,-15.395775,0.525,0.04946,0.776473,0.76670715,0.14948,0.132685,108.700025,3.875,332391.075,13295643,40,other,51,18.5
The Refugee Playlist,37i9dQZF1DX1328t2iygZy,16047,0.606863636,0.543186364,3.181818182,-9.109954545,0.818181818,0.088872727,0.3487,0.047639249,0.256040909,0.39835,110.4004091,3.818181818,227756.5909,5010645,22,pop,67,42.68181818
This Is: Jason Isbell,37i9dQZF1DX1wvY0jqbS55,11349,0.490653061,0.441812245,5.673469388,-10.93730612,0.816326531,0.033718367,0.361512531,0.016554602,0.213769388,0.423434694,112.1187347,3.897959184,249612.0612,12230991,49,country,64,43.44897959
This Is: Disney,37i9dQZF1DWVs8I62NcHks,247039,0.471172414,0.434196552,5.017241379,-10.86191379,0.862068966,0.0752,0.607912069,0.000349241,0.194327586,0.456105172,110.5555517,3.862068966,161395.8621,9360960,58,soundtrack,73,41.13793103
This Is: The Doors,37i9dQZF1DX95gx8SY6DLX,82684,0.556,0.51414,5.18,-11.11184,0.6,0.045362,0.35073,0.033610743,0.151882,0.61731,119.26304,3.98,255543.76,12777188,50,rock,70,51.28
This Is: AC/DC,37i9dQZF1DXec50AjHrNTq,522221,0.508885714,0.849,6.657142857,-4.677228571,0.828571429,0.082582857,0.043496883,0.19080233,0.24776,0.486485714,126.4816286,4,249849.8857,8744746,35,rock,80,61.45714286
This Is: Adele,37i9dQZF1DWZUozJiHy44Y,527006,0.52148,0.47944,4.8,-6.9896,0.48,0.039696,0.46482692,0.006510286,0.156556,0.307544,120.98176,3.76,254334,6358350,25,pop,77,63.84
